,mun_name,year,TOTAL_TAX_SUM,5yr_growth,10yr_growth,15yr_growth,20yr_growth
4539,MURAT FUSIONNEE,2022,1904108.0,31.150734202708684,31.150734202708684,31.150734202708684,31.150734202708684
4540,CHATEAU-THEBAUD,2022,1904005.0,15.51094348047391,43.81777791541815,122.8553737967714,167.74961539218748
4541,BRANDO,2022,1903132.0,39.837262171904875,68.40490118954811,208.8772934942262,445.1866196477015
4542,MERCURY,2022,1902991.0,22.53439414407743,45.43101432307389,133.42508466759153,200.4738445991821
4543,CREVECOEUR LE GRAND,2022,1902322.0,38.62158268558266,58.35435904394131,58.35435904394131,152.9431240235349
4544,BAHO,2022,1902224.0,13.025451498955738,30.38049211126411,92.50473615181592,182.88466743402364
4545,ECROUVES,2022,1901940.0,-1.4411193159735718,5.946150696720969,89.32669441289453,168.0321423236386
4546,SAINT-PAUL-EN-CHABLAIS,2022,1901900.0,31.64351939975151,85.0541910361731,177.8727445394112,335.7139257093896
4547,PIERRES,2022,1901883.0,19.876750043491086,22.277471208056152,48.40930088832566,83.42115973281743
4548,ST JOACHIM,2022,1901274.0,-5.77350243090144,0.8355254783826211,0.8355254783826211,71.89889714857122
4549,CRESPIERES,2022,1901212.0,39.774650455301355,78.08930824561781,171.8051798775083,321.7212114759262
4550,CENAC,2022,1899505.0,48.28761241568824,102.85881192009978,188.9363307388202,321.86566517790715
4551,SAINTE-FOY-LA-GRANDE,2022,1899243.0,30.680089420808297,36.108302260800016,47.98734905117884,60.47965363136989
4552,SAINT REMY,2022,1899183.0,8.021363304145538,21.23742179216201,21.23742179216201,154.58456044493715
4553,LABOUHEYRE,2022,1898714.0,2.451766493495842,24.991376336667816,-3.0099538321180934,20.7752662831045
4554,HANCHES,2022,1897755.0,21.746563808118555,37.50074265783109,78.14277668262461,164.15418685544947
4555,YDES,2022,1897543.0,2.1315543020764935,61.802718565151515,119.01516393158802,49.81947064197077
4556,COUFOULEUX,2022,1897206.0,51.472444509380765,78.24668278260118,90.83027806695937,115.09613651282784
4557,SAVINES LE LAC,2022,1897067.0,101.36898475190668,123.52858696510273,123.52858696510273,412.6307540567198
4558,MALATAVERNE,2022,1896954.0,16.153149528916224,53.41268608916753,77.81771039851068,119.56299307381755
4559,BARBY,2022,1895664.0,18.13824499957934,33.74413795584956,30.143519646847615,55.97346006503338
